transport_mode,transport_km_day,electricity_kwh_day,diet_type,meals_per_day,clothes_per_month,electronics_per_year,beef_kg_day,chicken_kg_day,veggies_kg_day,em_transport,em_energy,em_food,em_shopping,em_total
Bike,5.760095362557027,8.251353587419372,Non-Veg Meal,2,0.1978204931376819,0.8894882822170997,0.16102544445938505,0.19798386109948535,0.22204341086396298,0.05760095362557027,6.766109941683885,16.15786246371777,0.18778787427198068,23.85016457465094
Car (Diesel),16.66675161257369,6.198092092683648,Non-Veg Meal,3,0.6407075371167618,1.0581255488577492,0.12246704395026006,0.3054140361568727,0.342511113352062,2.5000127418860534,5.082435516000591,21.098989262843567,0.3585178843618999,27.854747979488863
Bike,7.914422733576352,9.66762401602209,Non-Veg Meal,2,1.1478664495117705,1.172616429887344,0.2019266438618447,0.2495279133915186,0.41462315045118237,0.07914422733576353,7.927451693138114,18.00300828757365,0.5432545374930574,27.261118431500954
Bike,9.561509901692308,4.463271812785388,Vegetarian Meal,3,2.6289722927208916,0.7202367796415875,0.02959061138224832,0.10106225411705126,0.44758891817370516,0.09561509901692308,3.659882886484018,9.891453897075769,0.9749866701272727,14.924496388184757
Bus,15.25892560983117,4.003470878133918,Non-Veg Meal,3,1.7186885967290129,1.410000144563733,0.19341573292648093,0.28146962756862737,0.3601368604233337,1.2207140487864936,3.2828461200698125,22.884638940085182,0.766046903644429,27.88762154734271
Bike,15.787729355031242,1.6285325404330004,Non-Veg Meal,2,0.8611221517566581,0.6074004241413214,0.26969647867406377,0.09610026611681083,0.4952417531887221,0.15787729355031244,1.3353966831550603,18.93538026678316,0.370246254805825,21.387313427725225
Bus,9.99068982008535,6.488259195315017,Non-Veg Meal,3,2.293347235199925,0.5558924494260937,0.15225889244012597,0.30295710575085844,0.32130435126775775,0.7992551856068281,5.3203725401583135,21.84400282809984,0.8405987290062893,26.661497169003827
Walking,5.200276715979117,3.241643141995166,Vegetarian Meal,3,2.1904853540677682,0.500923147564426,0.08951238146460286,0.27507084727608044,0.3035980190419642,0.0,2.658147376436036,12.42201918383316,0.7987813939446569,16.00833130636524
Bike,8.028444353600094,4.9108384603047845,Vegan Meal,2,1.9869724807855818,0.4714183618580934,0.08074964712366124,0.07768959906870908,0.4169796764044916,0.08028444353600094,4.026887537449923,6.550258058721929,0.7269020180506405,11.120918317564373
Bus,11.409087092943459,4.730105063867539,Non-Veg Meal,2,0.05288752757691273,0.0,0.1201651903439111,0.2479729072068124,0.21417814169599086,0.9127269674354768,3.878686152371382,15.383829482404586,0.01762917585897091,23.08273784862779
Car (Petrol),19.795369786716392,4.931208086815722,Non-Veg Meal,2,1.29456244213237,0.1349845615625932,0.15965801544596625,0.3008369764948875,0.0909019365211477,2.375444374405967,4.043590631188892,16.56834542789811,0.45001184987461557,23.619998947604614
Car (Diesel),13.426413613993667,4.217550132909617,Non-Veg Meal,3,0.9705072909361976,0.9628733479482928,0.18131112873140656,0.3922134669585099,0.31409665587904634,2.01396204209905,3.4583911089858854,23.22986670951979,0.4554028889351197,28.288154029619328
Car (Petrol),13.075653809737897,6.659990051915296,Vegetarian Meal,3,1.8568710591495092,1.8243120238536932,0.008674216740628946,0.12322981607003029,0.21101360878917125,1.5690784571685477,5.461191842570543,9.006516800458533,0.8688627764087898,15.740595547904805
Bus,3.739883114662147,7.905452840443213,Vegan Meal,2,0.4844209187924584,1.0194596932151367,0.13028759407366286,0.2596077070030144,0.7870793699010994,0.2991906491729718,6.482471329163435,9.883216958111895,0.301125652366683,18.073380965068935
EV (Electric Car),6.062771279808815,0.0,Vegetarian Meal,2,1.0846427398203147,0.3715322406581344,0.07155254681501688,0.32791762769451727,0.3735572851168017,0.30313856399044076,0.0,9.941664965331228,0.4124424074275206,10.470726697855484
Car (Petrol),5.78607748304513,0.9759511658869293,Non-Veg Meal,2,3.267929913579883,0.8911921650310202,0.23896437066138343,0.14008452817530176,0.17225843503744628,0.6943292979654155,0.800279956027282,17.76313812234183,1.2113910896906943,19.659223714208117
Car (Petrol),7.648643612785481,12.385409197305494,Non-Veg Meal,3,0.5970728219129736,1.4521011090119709,0.20309705796635177,0.18120345228102916,0.3438856210796849,0.9178372335342577,10.156035541790505,22.42169562798997,0.3979422341096174,34.46342868679303
EV (Electric Car),14.676433208892483,4.63504955897766,Vegetarian Meal,2,1.6725879177221195,1.9053638794873045,0.0895994968144063,0.18576340086681412,0.3928739209403814,0.7338216604446242,3.800740638361681,9.48670172185075,0.8185380565220723,15.32188702037293
Car (Diesel),13.316295008183138,4.767218307498789,Vegetarian Meal,3,3.035755991995992,0.9282641060553343,0.006531858096769982,0.03582089609052022,0.5976391898346873,1.9974442512274706,3.9091190121490067,9.118802731306754,1.1390781305815865,16.676818963610476
Bike,10.922884720304396,4.8504380365920365,Non-Veg Meal,2,0.6052729810441736,1.250328756282331,0.1563236926284246,0.19938537599359146,0.3254835652213231,0.10922884720304396,3.97735919000547,16.247465925765894,0.3730355721675553,20.727538224074323
Car (Petrol),20.4448911678823,6.271754720705236,Non-Veg Meal,1,1.451281598069882,0.20973881079499035,0.10687121637458231,0.09462171596854993,0.2998814838948782,2.453386940145876,5.142838870978293,9.138175650086474,0.5124918766344799,17.384170103411236
Train,4.041643693562616,6.091894477783252,Vegan Meal,3,1.0158305666664216,0.5706288339466274,0.14016546951827624,0.08457385244047112,0.5506097161164115,0.1818739662103177,4.995353471782266,9.969246691065532,0.4167785223061534,15.743815233029396
Car (Diesel),7.824344329975782,5.328423549358502,Non-Veg Meal,3,0.41561192776663347,0.863342847139512,0.1936936998083343,0.5020968845040705,0.6315266916922505,1.1736516494963671,4.369307310473971,24.957251781287614,0.25680345269931326,31.274341429794337
EV (Electric Car),10.275699830704944,1.6096739944889906,Non-Veg Meal,3,2.7058536208882336,0.2896413135794741,0.1407512135959322,0.0,0.3256001119182638,0.5137849915352473,1.3199326754809722,19.4514829909267,0.9416280992339054,22.699021281714913
Bus,8.823363435803557,3.3694176654972354,Non-Veg Meal,2,0.03295475460900943,2.2904729784198086,0.10275464512355814,0.06838573058544326,0.6255370292481971,0.7058690748642846,2.762922485707733,14.497311017872022,0.32474833990434676,19.291774523913688
Car (Petrol),4.9706002270479495,4.8952531296359085,Vegan Meal,3,0.5131429215717626,0.6283055078405232,0.12664025456370465,0.07217192893599424,0.2935765893154851,0.5964720272457539,4.014107566301445,9.004426361509356,0.2571168881733076,13.911252538040186
Car (Petrol),3.7506251497801095,5.285478768076004,Vegan Meal,3,0.944672781180984,1.1300769657815972,0.1407629490691897,0.038651519320215925,0.4027634612598805,0.4500750179736131,4.3340925898223235,9.372822030697373,0.4696959908660262,14.029329399842599
Bus,12.000506358548485,3.835325899371458,Vegan Meal,2,3.593168308930595,1.9013484317326697,0.10315079315339004,0.0,0.1831382792024873,0.9600405086838788,3.1449672374845954,6.151347973546506,1.4581814589219797,11.630021652607907
Bike,13.576495350882832,7.440430210174832,Vegan Meal,3,1.954420338214363,0.02269852090986546,0.051708511553003066,0.05164606452278235,0.3578700197534365,0.1357649535088283,6.1011527723433625,6.968227696645155,0.6545828324974633,14.382088120569536
Bike,11.379070391604234,5.2440678653793436,Vegetarian Meal,3,0.0,0.6342048148432211,0.09059074528234681,0.23551927876245193,0.2942128128018065,0.11379070391604235,4.300135649611062,12.159458771687895,0.08687737189633166,15.172061259855338
Bus,13.967972902284657,11.182050642492555,Vegetarian Meal,3,1.171474776877106,0.7570729579198069,0.016826089357763058,0.1598652593172948,0.5450066892048437,1.1174378321827727,9.169281526843895,10.147388080358624,0.494200216664945,19.064901165853676
EV (Electric Car),22.393869632459666,9.532235666933081,Vegetarian Meal,3,1.9389931587382987,1.3795917237579411,0.0622057427879175,0.20798549790310458,0.24538642650495845,1.1196934816229833,7.8164332468851265,11.10542784381511,0.8353162205508404,21.83540738979852
Train,4.9301782613108065,8.347051027252984,Non-Veg Meal,3,2.6712470934673194,1.325608292111882,0.2892387694588081,0.2876929629366374,0.1141939616520139,0.22185802175898628,6.844581842347447,25.022916142954646,1.0720058748240675,35.68182902361103
Car (Petrol),4.967956844431105,4.4451604729011756,Non-Veg Meal,3,0.8010695714212537,0.09039784349172086,0.18196692557257563,0.05401278207426469,0.24932895839051283,0.5961548213317326,3.6450315877789636,20.784453103552995,0.2794064567054938,23.70424871703842
Bus,8.086119051500425,9.465936108320088,Non-Veg Meal,1,1.8043667290302599,0.8504235012628045,0.20483341712236158,0.39394516179814487,0.04051425847928858,0.6468895241200341,7.762067608822472,13.329752395669539,0.7179519463794206,22.569460466847406
EV (Electric Car),15.545437936760127,1.2552168016381735,Vegan Meal,3,2.346583985843404,0.4003394369347439,0.12882582139797263,0.1482165867186846,0.3849317030205752,0.7772718968380063,1.0292777773433022,9.770855032145334,0.8370356807059856,12.166433937720704
Bike,13.622059435690355,3.409964205781855,Vegetarian Meal,2,1.883393864353495,1.4998769728372063,0.01648783508129545,0.1849989163616507,0.572218332148846,0.13622059435690356,2.796170648741121,7.866100734388059,0.8332605538032937,11.480056965374228
Bus,7.066499896258078,6.606918575493581,Vegetarian Meal,3,2.8289605904369894,1.3997557877965687,0.1305092040134037,0.2664939801588912,0.6991479650519128,0.5653199917006463,5.417673231904736,14.260852901562075,1.1347342316703073,21.705171317948
Train,0.0,10.812763084551424,Non-Veg Meal,3,2.809550684860527,0.0,0.10490116715363162,0.007846647545737578,0.2308795564961864,0.0,8.866465729332168,18.348232494206016,0.9365168949535091,26.331421721632932
Car (Diesel),15.145127056876625,6.828822537985661,Vegan Meal,1,1.5543535853903823,0.46975677645316505,0.10756314630299671,0.10423443514655241,0.37073621480880226,2.271769058531494,5.599634481148242,5.864894982309727,0.5824681051465427,13.52606717738443
Car (Petrol),13.37526824469041,7.5901941168044,Vegetarian Meal,2,1.6967760966569572,1.3743699327921932,0.056375529666525676,0.2625400706878535,0.31012418121269314,1.6050321893628492,6.2239591757796076,8.95391415116777,0.7538618860261355,17.27261881487634
Car (Petrol),16.97711425214444,0.020818886837532524,Non-Veg Meal,2,0.0,0.32521489189137637,0.2249660339836644,0.16581391203409104,0.3796685122912778,2.0372537102573327,0.01707148720677667,17.977535935176725,0.0445499851905995,19.930480104340248
Train,19.966116793606147,5.792586195821581,Vegan Meal,2,2.8535858895693975,0.8644886609038764,0.029756106570352277,0.0,0.12791952311524754,0.8984752557122766,4.749920680573696,4.059253923630006,1.0696184007565401,10.170532249500909
